quiz.properties|name=TOEFL 1~~counttotal=25~~q_lang=en-US~~a_lang=ru-RU~~exported_time=23.09.2017 15:37:39~~fontsize_q=30~~fontsize_a=25~~skipaudiomode=0~~
continuity|сущ.~~1) непрерывность, неразрывность, целостность, связность~~the continuity of the frontier — непрерывность границы~~principle of continuity — принцип непрерывности~~Syn:~~connectedness, unbrokenness~~2) последовательная смена, последовательность~~3) кино сценарий~~4) кино последовательность кадров~~5) пояснения комментатора, связывающие теле- или радиопрограмму в одно целое~~- continuity announcer~~6) преемственность~~- price continuity~~7) электропроводность (цепи)
pending|1. прил.~~1) незаконченный, ожидающий решения~~A suit was then pending. — В то время шла тяжба.~~- patent pending~~2) надвигающийся, близкий, грозящий~~Syn:~~imminent, impending~~2. предл.~~1) в продолжение; в течение~~pending the peace negotiations — в ходе мирных переговоров~~Syn:~~during~~2) (вплоть) до; в ожидании, ожидая~~pending the completion of the new building — ожидая завершения строительства нового здания
mundane|прил.~~1) земной, мирской, светский~~Syn:~~secular, worldly~~2) обычный, приземлённый~~3) космический~~mundane soul / spirit — мировая душа (у Платона)~~Syn:~~cosmic
thereby|нареч.~~1) книжн. таким образом, посредством этого~~He became a citizen in 1978, thereby gaining the right to vote. — Он получил гражданство в 1978 г., получив тем самым право голосовать.~~2) книжн. в связи с этим~~3) уст.; диал. около, неподалёку~~At the foot of a tree thereby. — У подножия дерева.~~4) уст. около, приблизительно~~There was one maiden of fifteen, or thereby, with the fairest face I ever looked upon. (W. Scott, Kenilworth, 1821) — Но там была ещё одна девица лет пятнадцати или около того, с прелестнейшим личиком на свете. (пер. Б. Б. Томашевского)~~•~~thereby hangs a tale — это целая история, об этом можно долго рассказывать
hassle|1. сущ.; разг.~~барьер, преграда, препятствие, трудность~~It was a hassle to get a visa. — Было напряжно получить визу.~~Syn:~~difficulty, obstacle, struggle~~2. гл.; разг.~~1) доставать, донимать, напрягать, надоедать~~Stop hassling me about washing the car. — Хватит изводить меня этим мытьём машины.~~2) спорить (вплоть до драки)~~Customers often hassle with merchants over high prices. — Покупатели часто собачатся с торговцами из-за высоких цен.
scope|I сущ.~~1) границы, рамки, пределы (возможностей, знаний и т. п.)~~These issues are beyond the scope of this book. — Эти вопросы в данной книге не рассматриваются.~~Responsibility for office services is not within the scope of the department. — Ответственность за работу офисных служб не входит в компетенцию данного отдела.~~2) масштаб, предел, размах; сфера, область действия~~- scope of fire~~Syn:~~range 1., scale III, 1., calibre, size I, 1.~~3) возможности, простор, свобода действий~~scope for initiative — возможность проявления инициативы~~to give smb. (full) scope for smth. — предоставить кому-л. полную свободу для осуществления чего-л.~~I gave full scope to my imagination. — Я дал полную свободу своему воображению.~~4) уст. намерение, цель~~Syn:~~purpose 1., intention, drift 2.~~II~~1. сущ.; разг.~~1) сокр. от microscope, telescope 1., periscope, riflescope, oscilloscopeи т. п.~~см. тж.-scope~~2) сокр. от horoscope гороскоп~~2. гл.; амер.; разг.; = scope out~~(оценивающе) смотреть (на кого-л. / что-л.)~~Let's scope out that new club tonight. — Давайте сходим сегодня на разведку в новый клуб и посмотрим, что он из себя представляет.
intrinsic|прил.~~1) присущий, свойственный~~Syn:~~inherent, peculiar 1.~~2) важный, значительный, существенный~~intrinsic part of the plan — существенная часть плана~~3) анат. внутренний
captivate|гл.~~очаровывать, пленять, покорять, увлекать
ornate|прил.~~1) богато украшенный~~Syn:~~elegant 1., ornamented~~2) витиеватый, изощрённый (о стиле)
intricate|прил.~~запутанный, сложный, замысловатый; затруднительный
pinnacle|1. сущ.~~1) архит. остроконечная башенка, бельведер, шпиц~~2) вершина, пик~~3) кульминационный пункт, апофеоз~~pinnacle of success — вершина успеха~~Syn:~~summit~~2. гл.~~1) возносить~~Syn:~~raise, lift up~~2) архит. украшать башенками
reciprocate|гл.~~1) обмениваться, взаимно делиться (информацией, любезностями, фразами, горестями)~~to reciprocate compliments gracefully — изящно обменяться комплиментами~~Syn:~~interchange 2.~~2) отплачивать (услугой за услугу и т. п.)~~We hope to reciprocate for your kindness. — Мы надеемся отблагодарить вас за вашу доброту.~~Syn:~~repay, pay back, requite~~3) отвечать взаимностью~~to reciprocate dislike / hostility — испытывать взаимную неприязнь, враждебность~~to reciprocate smb.'s affection / feelings — разделять чьи-л. чувства~~4)~~а) двигать или вращать взад и вперёд~~б) двигаться взад и вперёд; совершать возвратно-поступательные движения~~a reciprocating valve — двусторонний клапан~~5) мат. строить график функции, обратной данной
entail|1. сущ.; юр.~~1) акт, закрепляющий порядок наследования земли без права отчуждения; майоратное наследование~~2) передача неотчуждаемой собственности; майорат~~2. гл.~~1) влечь за собой, вызывать (что-л.)~~The project will entail considerable expense. — Проект будет сопряжён со значительными расходами.~~Any decision will entail inconvenience for one group or another. — Любое (принятое) решение повлечёт за собой неудобства для той или другой группы.~~My absence will entail inconvenience upon you. — Моё отсутствие причинит вам неудобства.~~2) уст. закрепить (за кем-л.), заклеймить (кого-л.)~~My faint heart entailed on them indelible disgrace. (R. Browning. "Luria". Act II) — Из-за моей трусости их заклеймили несмываемым позором. (Р. Браунинг. "Лурия", действие II)~~3) юр. определять порядок наследования земли без права отчуждения
