quiz.properties|name=Blender Edit Mode~~q_lang=ru-RU~~a_lang=ru-RU~~fontsize_q=40~~fontsize_a=40
Экструдировать из выбранных вершин|Нажать E (extrude) и двигать
Включить выделение полигонами (face)|Нажать 3
Включить Выделение ребрами|Нажать 2
Включить Выделение вершинами| Нажать 1
Добавление ребер-сечений в режиме редактирования (разделение объекта)|Ctrl+R click, крутить колесо для изменения числа делений, click, mousemove для смещения сечений, click
Удалить ненужные вершины обьекта|В режиме редактирования (включить режим рентгена (Alt+Z) при необходимости) выделить вершины, которые надо удалить и нажать X. В выскочившем меню нажать Delete Vertices
Слияние нескольких вершин в одну|Нажать М(erge) и затем выбрать из выпавшего скиска местороложение точки слияния (например At Last)
Раздвинуть линию-окантовку грани для создания фаски(скошенный торец цилиндра и тп)|Выделить грань, нажать Ctrl+B и двигать мышь для создания фаски. Это есть и в меню: Edge -> Bevel Edges ( Ctrl+B ).В меню Bevel в левом нижнем углу экрана можно добавить количество сегментов и настроить другие параметры операции
При моделировании, чтобы перемещать вершину по напрявляющим граней нужно|нажать G два раза и перемешать вершину (появляются стрелки направления перемещения)
В Edit Mode, переключится в режим выделения при помощи окраски кистью|C~~Добавление левый клик, снятие клик колесом, при этом менять размер кисти можно колесиком мыши
из выбранных ребер сделать грань|F (flat?) 
