quiz.properties|name=Blender Rigging~~q_lang=ru-RU~~a_lang=ru-RU~~fontsize_q=40~~fontsize_a=40
После погружения рига (скелета персонажа rig) в меш (mesh - тело) и редактирования его, чтобы обьединить риг с мешем нужно...|В объектном режиме выделить сначала меш, затем скелет и нажать Ctrl+P и в выскочившем меню выбрать With Automatic Weights
После погружения скелета в меш (тело персонажа)он перестает быть виден и для удобства дальнейшего его редактирования, чтобы он стал виден сквозь меш нужно...|Нажать на квадратик в меню значков инструментов (Object Properties), там в меню выбрать Viewport Display, затем поставить галочку In Front
Во время редактирования рига (скелета персонажа), чтобы симметрично менялось расположение косточек, нужно после изменения положения косточки с одной стороны скелета...|Нажать правой клавишей мыши и в выскочившем меню выбрать  Symmetrize
Добавить одну кость |Нажать Shift+A, в выпавшем меню выбрать Armature и далее выбрать Single Bone
"Удалить родителя" между костями скелета|В режиме редактирования выделить кость, нажать Alt+P  и в выскочившем меню выбрать Clear Parent
Кость скелета сделать ребенком другой кости ("за-parent-ить")|(в режиме редакт.)Сначала выбрать кость, которую хотим прикрепить, потом ту, которую хотим сделать родителем. Далее нажимаем Ctrl+P
Сделать видимыми кости скелета погруженного в тело персонажа| Войти в Object Properties (значок квадрата с рамочкой уголками), там найти Viewport Display, в котором поставить галочку In Front
Добавить уже сформированный гуманоидный скелет к персонажу|Shift+A, далее в меню выбрать Armature, далее выбрать Basic, затем Basic Human (Meta Rig) ~~Если эти вкладки не появились, нужно добавить их через меню блендер: в меню Edit выбрать Preferences, затем Add-ons и в поиске забить "Rig" и поставить галочку напротив Rigging: Rigify
Как добавить Inverse Kinematics?|Выбрать скелет в Object Mode, перейти в Pose Mode, выбрать одну кость. Поместить 3DCursor в ее конец(Shift-S), Создать там Empty object(Shift-A). Выбрать опять эту кость, Bone Constraints->Add..->IK, выбрать пустышку в качестве Target. Проверить, потаскать за пустышку в Object Mode.
Включить показ осей костей в скелете в их собственной системе координат(полезно для задания ограничений движения каждой кости)|Выбрать скелет, в его свойствах (человечек) Viewport Display->Axes
Включить показ имен костей в скелете|Выбрать скелет, в его свойствах (человечек) Viewport Display->Names
Как ограничить движение кости по оси, и запретить ее вращение по другим осям?|Pose Mode, Выбрать кость, Bone Properties(кость)-IK, замок на Y и Z, галочка на Limit X, и задать диапазон допустимых углов движения кости, например от -45 градусов до 45 градусов
Создать окружность пустышку для управления одной костью (вращения)|добавить Inverse Kinematics, задать, что вращение только по одной оси, создать пустышку окружность, выбрать кость и окружность, Ctrl+P -> Object
Как сделать две кости, исходящие из одной точки в форме буквы V, с жестко зафиксированным углом между ними?|В Object Mode создаем обе кости , исходящие из одной точки. Сначала выбрать дочернюю кость, потом ведущую. Далее нажимаем Ctrl+P -> Bone. Для проверки - делаем IK и пустышку для ведущей, тянем за пустышку и наблюдаем эффект
Shortcut для перехода из Pose Mode в Object Mode и обратно|Ctrl-Tab
