Добавление объектов в сцену|Shift+A и выбрать открывшегося меню нужное
Показать снова все спрятанные объекты|Alt+H (unhide)
Убрать картинку или объект из поля| Нажать H (hide) или выключить глаз в Scene Collection Pane
Поворот объекта|Нажать R (rotate)  и потом X,Y, или Z для передвижения по соответствующей оси.
Перемещение объекта|Нажать G и потом X,Y, или Z для передвижения по соответствующей оси. Ctrl - шагами по сетке
Отменить действие, повторить отмененное действие|Ctrl+z чтобы отменить, Ctrl+shift+z чтобы повторно применить (а не Ctrl+Z/Ctrl+Y как во многих программах)
Сузить-расширить, увеличить-уменьшить|Нажать S (size) и потом можно еще X,Y, или Z для ограничения по соответствующей оси
Экструдировать|Нажать E (extrude)
Включить выделение полигонами (face)|Нажать 3
Включить Выделение ребрами|Нажать 2
Включить Выделение вершинами| Нажать 1
Выделить все|Нажать A (All)
Удалить | Нажать X
Отмена действия (undo)| Ctrl+z (Ctrl+z)
Добавление ребер в режиме редактирования (разделение объекта)|Ctrl+R
Режим рентгена| Alt+z (позволяет выбор через полупрозрачные элементы)
Переход между режимами (объектный - редактирования..)|Нажать клавишу tab
Выделить сразу несколько объектов| Во время выделения держать нажатой кнопку shift
После погружения рига (скелета персонажа rig) в меш (mesh - тело) и редактирования его, чтобы обьединить риг с мешем нужно...|В объектном режиме выделить сначала меш, затем скелет и нажать Ctrl+P и в выскочившем меню выбрать With Automatic Weights
После погружения скелета в меш (тело персонажа)он перестает быть виден и для удобства дальнейшего его редактирования, чтобы он стал виден сквозь меш нужно...|Нажать на квадратик в меню значков инструментов (Object Properties), там в меню выбрать Viewport Display, затем поставить галочку In Front
Во время редактирования рига (скелета персонажа), чтобы симметрично менялось расположение косточек, нужно после изменения положения косточки с одной стороны скелета...|Нажать правой клавишей мыши и в выскочившем меню выбрать  Symmetrize
Обьединить объекты в единое целое |Ctrl+j (join) (при этом не происходит вычитания по контуру обьединения, объекты остаются целыми внутри образованного нового объекта)
Добавить одну кость |Нажать Shift+A, в выпавшем меню выбрать Armature и далее выбрать Single Bone
Скруглить обьект, подразделение граней меша обьекта (тела) на более мелкие, появляется сглаженность (модификатор Subdivision Surface)| Ctrl (command) + 2
"Удалить родителя" между костями скелета|В режиме редактирования выделить кость, нажать Alt+P  и в выскочившем меню выбрать Clear Parent
Кость скелета сделать ребенком другой кости ("за-parent-ить")|(в режиме редакт.)Сначала выбрать кость, которую хотим прикрепить, потом ту, которую хотим сделать родителем. Далее нажимаем Ctrl+P
Сброс поворота|Alt+R (un-Rotate)
Все трансформации происходят относительно центра объекта Origin. У каждого он свой. Как двигать центр объекта (Origin)?|Выбрать объект, Menu: Object-Set Origin-Origin to 3D Cursor или другие опции. На экране убедиться, что точка переместилась в нужное положение. 
Более гладкое масштабирование обьекта| масштабирование нажатием S и нажать Shift
Копировать обьект|Shift+D (duplicate)
Сделать видимыми кости скелета погруженного в тело персонажа| Войти в Object Properties (значок квадрата с рамочкой уголками), там найти Viewport Display, в котором поставить галочку In Front
Добавить уже сформированный гуманоидный скелет к персонажу|Shift+A, далее в меню выбрать Armature, далее выбрать Basic, затем Basic Human (Meta Rig) ~~Если эти вкладки не появились, нужно добавить их через меню блендер: в меню Edit выбрать Preferences, затем Add-ons и в поиске забить "Rig" и поставить галочку напротив Rigging: Rigify
Выделить все|Нажать A
Вернуть отмененное действие|Нажать Ctrl+Shift+Z
Удалить ненужные вершины обьекта|В режиме редактирования (включить режим рентгена (Alt+Z) при необходимости) выделить вершины, которые надо удалить и нажать X. В выскочившем меню нажать Delete Vertices
Перемещать курсор (мишеньку) на рабочем поле|Нажать Shift+правая кнопка мыши и перетаскивать курсор в нужное место
Вызвать меню с функциями shading (значков-шариков справа вверху) (Rendered, Material Preview...)|Нажать клавишу Z
Сделать скос фаску граней обьекта|Добавить модификатор Bevel
Как разделить не связанные между собой обьекты (т. е. два или несколько обьектов, обьединенных с помощью Ctrl+j)|В режиме редактирования выберем все,  нажав Shift+A. Нажмем Р -> в меню выберем By Loose Parts (разделить несвязанное). Перейдем в обьектный режим, чтобы переместить опорную точку вращения в центр отделенного (обьекта правой кнопкой мыши в меню выбрать Set Origin -> Origin to Geometry)
Как разделить обьект |Переходим в режим редактирования. Отделяем любым способом часть, которую хотим отделить. Нажимаем клавишу  P, выбираем в выпавшем меню верхний пункт selection. Обьекты разделились. Теперь нам нужно перенести опорную точку вращения у отделенного обьекта на место - для этого щелкаем правой кнопкой мыши и в меню выбираем Set Origin -> Origin to Geometry
При моделировании, чтобы отразить обьект с помощью модификатора mirror относительно 3D курсора (выбранного центра поля и модели)нужно |Выбрать обьект отражения, войти в меню Object, выбрать Set Origin, затем Origin to 3D Cursor. После этого  3D курсор выбранного обьекта переместится к центральному 3D курсору модели. Далее выбрать отражаемый обьект и добавить модификатор mirror.
При моделировании персонажа, чтобы добавить сглаженность обьекту (модели) нужно|В обьектном режиме войти во вкладку Object и там выбрать Shade smooth
При моделировании с использованием модификатора "Mirror"для соединения "зеркальных" граней в месте деления обьекта "зеркалом" по шву (чтобы не перекрещивались экструдируемые грани в зеркальные пространства) нужно|В окошке модификатора mirror поставить галочку Clipping
При моделировании персонажа сделать видимыми грани, скрытые в какой-то проекции под вспомогательной картинкой, по которой идет моделирование (например)|Alt+Z
Соединить выделенные точки в грань|Нажать М и затем выбрать из выпавшего скиска нужное (например At Last)
При моделировании персонажа в 3D-проекции, чтобы разделить рабочее поле на несколько пространственных видов (и обратно перейти в однооконный режим), нужно нажать комбинацию клавиш|Ctrl+Alt+Q
Чтобы соединить две вершины в одну нужно| Выделить две вершины, нажать M, в меню (Merge)выбрать At Center
Раздвинуть линию грани (получится новый полигон)|Выделить грань, нажать Ctrl+B и раздвигать. Через меню: Edge -> Bevel Edges.В меню Bevel в левом нижнем углу экрана можно добавить количество сегментов Segments
