quiz.properties|name=Как пользоваться LBH~~q_lang=ru-RU~~a_lang=ru-RU~~fontsize_q=28~~fontsize_a=28~~skipaudiomode=0~~
Каков самый простой способ внести набор карт в общий репозиторий?|Экспортируйте его в любой поддерживаемый формат и напишите нам по имейл
В чем разница между бесплатной и профессиональной версиями?|Бесплатная версия не позволяет добавлять изображения и аудио к карточкам. Существуют также некоторые экспортные ограничения. Количество карт, которые могут участвовать в аудио-тренинге, ограничено.
Есть ли блог приложения?|На странице приложения в Фейсбук. Адрес страницы можно найти в помощи. Нажмите "?" и вы найдете ссылку там. Страница в Фейсбук содержит информацию об обновлениях приложения, новых наборах карт, помощь и т. д.
Что такое общедоступный репозиторий?|Это веб-сайт в Интернете, где хранятся открытые наборы карт. Все могут загружать такие наборы в свои устройства. Репозиторий открыт, каждый может вносить новые наборы карточек или исправлять ошибки.
Могу ли я сделать резервную копию своих наборов карточек?|Да, на компьютер или Dropbox (для Dropbox, конечно, у вас должна быть учетная запись Dropbox)
Есть ли в приложении справка?|На некоторых экранах есть кнопка с вопросительным знаком. Нажмите эту кнопку, чтобы просмотреть экран справки
В чем заключаются принципы, на которых основано приложение?|Мы склонны забывать вещи с течением времени. Недавно запомненные информационные элементы хранятся в нашей кратковременной памяти. Рекомендуется периодически повторять элементы, постепенно увеличивая время до следующего повторения до тех пор, пока элемент не окажется в нашей долговременной памяти
Что такое "аудио тренинг"?|Ваш телефон говорит вслух карточки вашего текущего нвбора с паузами между карточками. Этот режим похож на прослушивание MP3-файла, но воспроизводятся только карточки в вашем текущем наборе. карточки, которые Вы запомнили или отложили НЕ участвуют. Участвуют только те, которые в текущем наборе обучения или скоро в него вернутся. Вы не слушаете карточки, которые вы уже запомнили.
Каков основной режим обучения?|Вы смотрите на вопрос и пытаетесь ответить на него. После этого вы просматриваете ответ и сравниваете свой ответ с правильным ответом. Если вы не знаете ответ, вы запоминаете его и планируете, чтобы карта снова появилась через несколько карточек. Если вы правильно ответите на вопрос, отложите карточку на несколько дней, чтобы проверить себя позже. По истечении этого периода карточка снова будет включена в текущий набор обучения. Увеличивайте период до повторения, пока не убедитесь, что запомнили карточку. Когда это произойдет, пометьте карту как "Я знаю". Она больше не будет показана, но останется в наборе. Существует также пункт меню, чтобы удалить карточку насовсем
Какие форматы импорта / экспорта поддерживаются?|Значения, разделенные запятыми (,). В самом тексте не должно быть запятых ~~~~ Величины, разделенные вертикальной линией ("pipe"). Сам текст не может содержать символы "pipe". ~~~~ .ANKI 128, который является устаревшим форматом ~~~~ Родной формат LBH, который является файлом ZIP. Любой текст там разрешен. Только этот формат поддерживает изображения и аудио.
Где хранятся карточки?|Карточки, которые вы создали сами, хранятся только на вашем устройстве
Как я могу создать карточки?|Вы можете создавать карточки с помощью своего телефона, просто нажмите кнопку "плюс". Вы также можете создавать импортируемые файлы с помощью компьютера.
Как переключиться на русский/английский язык интерфейса?|На первоначальном экране нажать гаечный ключ для перехода в настройки программы, выбрать русский язык, сохранить, перезапустить программу.
Что я могу изучать? Это хорошо только для изучения иностранных языков?|Вы можете изучать всё, что захотите.
Где я могу брать карточки?|Вы можете создавать наборы самостоятельно или загружать их из общего хранилища в Интернете
Что такое "говорящая" карточка?|Когда вы изучаете слова на иностранном языке, важно знать произношение слов. Вы можете нажать кнопку с иконкой рта, чтобы прослушать вопрос или ответ. Звук динамически генерируется из текста и не занимает места на вашем телефоне.
Как можно описать LBH в нескольких словах?|"Говорящий" набор карточек, где вы можете планировать, когда каждая карточка появится снова в следующий раз, пока вы ее не запомните. ~~ Оба вопрос и ответ каждой карточки могут иметь прикрепленные изображения и аудиозаписи. ~~ Вы можете редактировать каждую карточку с помощью своего устройства.
Что такое LBH?|Универсальный инструмент обучения ("умные" карточки)
