quiz.properties|name=Пайка~~counttotal=9~~q_lang=ru-RU~~a_lang=ru-RU~~exported_time=9/15/2017 7:59:11 AM~~fontsize_q=34~~fontsize_a=38~~skipaudiomode=0~~
Можно ди вдыхать пары при пайке?|Пары токсичны, вдыхать не рекомендуется. Хорошо проветривайте помещение.
Какую выставляем температуру на паяльнике?|четыреста градусов.
Зачем нужна металлическая губка?|Для очищения жала паяльника от лишнего припоя и ТП.
Как происходит пайка контактов?|Сначала смазывает оба контакта ваткой со флюсом...~~~~Закрываем бутылку со флюсом чтобы его не пролить...~~~~Потом прикладываем паяльник к контакту и держим так несколько секунд, чтобы его разогреть.~~~~...~~Потом, не убирая паяльник, подаем в область между паяльником и контактом немного припоя.~~~~После расплавления припоя, убираем припой, но продолжаем держать паяльник еще пару секунд.~~~~Убираем паяльник и вставляем его обратно в держатель паяльника. На стол паяльник не класть.~~~~
Зачем нужен флюс?|Если перед пайкой не помазать контакты флюсом, припой не будет к ним прилипать.
Как держать паяльник?|Надо Направлять жало паяльника от себя.~~.~~~~Нужно быть очень осторожным, чтобы не обжечь себя или кого-то еще и не повредить шнур паяльника.
Как определить плюс на светодиоде?|Длинная ножка на светодиоде ~~- это плюс. На минусе светодиода есть характерная фаска или засечка.
Зачем нужен припой?|Чтобы спаять контакты между собой.




