quiz.properties|name=ПДД 2017~~q_lang=ru-RU~~a_lang=ru-RU~~fontsize_q=31~~fontsize_a=31~~skipaudiomode=0~~
Если только одна полоса реверсивной разметки в центре при нерабочем светофоре|не заезжать 
можно ли развернуться на белую стрелку налево~~в синем круге|можно
можно ли маршрутным на кирпич?|да
знак разворота на синем фоне в квадрате. Можно ли налево?|нельзя
Лекарственные средства при оказание первой помощи|Лекарственные средства в автомобильной аптечке отсутствуют, так как по законодательству их запрещено использовать при оказании первой помощи. Опасно давать лекарства пострадавшему, находящемуся в бессознательном состоянии, так как у него отсутствует глотательные рефлекс и любое жидкое или твёрдое вещество может попасть дыхательные пути, а не в желудок
На какой срок может быть наложен кровоостанавливающие жгут|Не более 1 часа в тёплое время года и не более получаса в холодное время года
Как проводится сердечно легочная реанимация пострадавшего|30 надавливании на грудину затем 2 вдоха методом "рот ко рту"
Как уложить пострадавшего в бессознательном состоянии?|Пострадавший, лежащий в бессознательном состоянии на спине, может погибнуть от удушения в результате западение языка. С учётом этого следует уложить его набок так, чтобы согнутые колени опирались о землю, а верхняя рука находилась под щекой, что обеспечить проходимость дыхательных путей
Среднее время реакции водителя|в среднем - 1 секунда~~(0.4-1.6 сек)
Как определяется факт употребления алкоголя ? (концентрация)|0.16 мг на 1 л выдыхаемого воздуха~~~~этилового спирта
На повороте возник занос задней оси передне- приводного автомобиля. Что делать?|Слегка увеличить подачу топлива, корректируя направление движения рулевым колесом
Что предпринять водителю при заносе после резкого поворота рулевого колеса на скользкой дороге|Быстро, но плавно повернуть рулевое колесо в сторону заноса, затем опережающим воздействием на рулевое колесо выровнять траекторию движения.
Как выбирать передачу при торможении двигателем с учётом крутизны спуска|Чем круче спуск, тем ниже передача
Чем опасно длительный торможение тормозами на спуске|Перегревается тормозные механизмы и уменьшается эффективность торможения
Устойчивость легкового на повороте: без пассажиров и грузов или с ними|Более устойчив без пассажиров и грузов
Как водитель садится в автомобиль у тротуара или на обочине|Обойти спереди чтобы видеть трафик в направлении движения, сесть. Соответственно, выйти - обойти сзади.
За езду без страховки|штраф 800р
штраф за запрещенные пленки на стеклах|500р
Административная ответственность будет за нарушение ПДД или правил эксплуатации повлекшие - что?|Лёгкого или средней тяжести вред здоровью человека
какие можно без аптечки из:~~автомобили~~мотоциклы~~мотоциклы без бокового прицепа~~автобусы|мотоциклы без бокового прицепа
обязателен ли мотоциклам огнетушитель?|нет
Можно ли эксплуатировать с неисправностью в системе выпуска отработавших газов|Нет
Водителям мопедов :~~поворот налево или разворот запрещен если...|на дороге с трамвайным движением~~~~более одной полосы в данном направлении
Мопеды могут двигаться...|По правому краю в один ряд~~По обочине если не создаются помехи пешеходам~~По полосе для велосипедистов
буксировка в гололедицу|только жесткая сцепка или частичная погрузка
какие огни нужно включать при движении в светлое время суток|на всех ТС~~везде~~ближний свет фар или~~дневные ходовые огни
В тоннеле с искусственным освещением должны быть включены|Ближнего или дальнего света~~(освещение может вырубиться)
Тёмное время суток ~~В Населённом пункте~~Освещенные участки дорог. Что включать?|При движении фары ближнего света~~~~Дальнего запрещены~~~~Габаритные при остановке и стоянке в темное время суток и недостаточной видимости
в зоне А :~~~~можно ли легковым такси?~~остановка их для высадки пассажиров... ?~~~~высадка пассажиров легковыми авто?|такси - движение и остановка~~~~легковые- только если А отделяет прерывистая, а не сплошная, ~~для высадки/посадки пассажиров если не создает помех~~~~также ок выезд на А при поворотах
стоянка у железнодорожных переездов|запрещена 50м по обе стороны (перед и после)
Стоянка легковых на тротуаре|Решена только при спец разрешающим знаке с картинкой стоянки на тротуаре
Область действия зонального знака например "зона запрещенный стоянки"|Обе стороны дороги вплоть до знака окончание зоны
Стоянка каких грузовых авто разрешена на тротуаре|Запрещена независимо от массы
Остановка на мостах, путепроводах и эстакадах при наличии трёх и более полос движения в данном направлении|Разрешена
Остановка в районе пешеходного перехода|Запрещена ближе 5 м ПЕРЕД переходом (По ходу движения)~~~~После - разрешена
Обгон в конце подъема|Запрещен
Обгон на перекрёстках|Разрешается только при движении по главной дороге на нерегулируемых перекрёстках
На какой полосе должны ехать грузовые более 2.5т|Только две правые~~В Остальные полосы- только для поворота налево и разворота
Движение по любой левой полосе при свободной правой ~~вне населённого пункта~~~~В населённом пункте|Запрещено~~~~В населённом пункте запрещено только по самой левой
Разрешается ли движение задним ходом на дорогах с односторонним движением|Да
Разворот на участке дороги с трамвайными путями слева расположенными на одном уровне с проезжей частью|Только с предварительным выездом на попутные трамвайные пути
Остановка и стоянка на левой стороне дороги вне населённых пунктов|Запрещена
