quiz.properties|name=Полимеры~~q_lang=ru-RU~~a_lang=ru-RU~~fontsize_q=28~~fontsize_a=24
Технологии послойного синтеза|Аддитивные технологии (AF – Additive Manufacturing), или технологии послойного синтеза~~~~построение модели происходит путем добавления материала (от англ. аdd – "добавлять") в отличие от традиционных технологий, где создание детали происходит путем удаления "лишнего" материала.~~~~Классической и наиболее точной технологией является SLA-технология (от Stereolithography Apparatus), или стереолитография, – послойное отверждение жидкого фотополимера лазером.~~~~Селективное лазерное спекание – SLS-технология (Selective Laser Sintering), SelectiveLaserMelting)~~~~технологии "струйной печати" – InkJet- или PolyJet-технологии. Эта технология предполагает нанесение модельного материала или связующего состава с помощью струйных головок
Температура стеклования|Температура стеклования это температура, при которой не кристаллизующееся вещество переходит в стеклообразное состояние, становясь твёрдым. Поскольку переход идёт постепенно, конкретное значение температуры стеклования зависит от скорости охлаждения и способа её определения. Обычно она определяется как температура, при которой вязкость твердого тела становится порядка 100—1000 ГПа·с, а модуль упругости превышает 1 ГПа.
Классификация полимеров|органические, ~~элементоорганические, ~~неорганические.~~~~●Органические полимеры.~~~~●Элементоорганические полимеры. Они содержат в основной цепи органических радикалов неорганические атомы (Si, Ti, Al), сочетающиеся с органическими радикалами. В природе их нет~~ ~~●Неорганические полимеры. Они не содержат в повторяющемся звене связей C-C, но способны содержать органические радикалы, как боковые заместители.
Особые механические свойства|эластичность — способность к высоким обратимым деформациям при относительно небольшой нагрузке (каучуки);~~малая хрупкость стеклообразных и кристаллических полимеров (пластмассы, органическое стекло);~~способность макромолекул к ориентации под действием направленного механического поля (используется при изготовлении волокон и плёнок).
Преимущества и недостатки полимеров|Преимущества:~~-	диэлектрики~~-	фрикционные свойства~~-	методы изготовления~~-	высокий коэффициент конструктивного качества (ККК);~~-	высокая химическая стойкость;~~-	низкая теплопроводность;~~-	широкая цветовая гамма;~~-	низкая истираемость;~~-	лёгкость обработки, склеивания, сваривания, безотходное производство.~~-	~~Недостатки:~~-	плохая теплопроводимость~~-	горючесть~~-	ползучесть~~-	высокий коэффициент термического расширения~~-	токсичность~~-	малая поверхностная твердость~~-	подверженность медленным процессам самопроизвольной деформации~~-	«старение», которое выражается как в медленно протекающих процессах( окисления, влагопоглощения, снижения поверхностной твердости, потемнения), так и в самопроизвольном разрушении изделий
Взаимосвязь структуры и свойств полимеров|Разветвленные полимеры более прочны, чем линейные. ~~~~Линейные и разветвленные полимеры размягчаются (плавятся) при нагревании и вновь затвердевают при охлаждении. Такое свойство полимеров называется термопластичностью, а сами полимеры - термопластичными, или термопластами. ~~~~Термопластичные полимеры можно не только плавить, но и растворять, так как связи Ван-дер-Ваальса легко рвутся под действием реагентов. К термопластам относятся поливинилхлорид, полиэтилен, полистирол и др.~~~~термореактивные, или реактопласты:~~если молекулы полимера содержат реакционно-способные группы, то при нагревании они соединяются множеством прочных поперечных связей, полимер оказывается сшитым , приобретает прочность и высокую вязкость, становится нерастворимым и неплавким при повторном нагревании~~(карбамидные, фенолоформальдегидные, эпоксидные )~~~~Полимеры с разветвленной цепью не могут сформировать плотно упакованные упорядоченные структуры.Такие материалы называются аморфными~~~~Полимеры кристаллической структуры обладают повышенной теплостойкостью, высокой прочностью, жесткостью и плотностью, низкой эластичностью и способностью к деформациям, низким поверхностным трением и повышенной хемостойкостью и высокой усадкой. К кристаллическим полимерам относятся полиэтилен, полипропилен, полиамиды и большинство термопластических полиэфиров, а так же каучук.~~~~Молекулярная масса - важнейшая характеристика свойств полимеров, которая определяет их механические свойства: прочность на разрыв, эластичность, жесткость и т. д. С увеличением молекулярной массы повышаются температура плавления и вязкость растворов, уменьшается растворимость, увеличиваются эластичность и прочность полимеров, а иногда повышается их жесткость.
полидисперсность полимеров|МОЛЕКУЛЯРНО-МАССОВОЕ РАСПРЕДЕЛЕНИЕ (полидисперсность полимеров), соотношение количеств макромолекул различной молекулярной массы в данном образце полимера. ~~~~Определение полидисперсности полимера состоит в разделении его на отдельные фракции, содержащие макромолекулы, относительно близкие по молекулярному весу, установлении количества каждой фракции в полимере и последующем определении их молекулярного веса. Фракционирование производят методом осаждения или методом растворения
сополимеры в зависимости от характера расположения звеньев подразделяют на|а) статистические - мономерные звенья в которых расположены неупорядоченно по цепи;~~~~б) чередующиеся (альтернирующие) со строгим чередованием звеньев в цепи;~~~~в) блочные (блок-сополимеры) - линейные макромолекулы которых состоят из чередующихся протяженных последовательностей звеньев (блоков), различающихся по составу или строению;~~~~г) привитые сополимеры, разветвленные макромолекулы которых состоят из нескольких химически связанных последовательностей мономерных звеньев - основной цепи и боковых ответвлений, различающихся по составу или строению.
Топология полимерных цепей|Линейные~~Разветвленные ~~(звездообразные, гребнеобразные )~~Сшитые или сетчатые ~~(густо- и редкосшитые,лестничные)~~~~гомо- и сополимеры, состоящие из одного и минимум из двух (или более) типов звеньев
Радикальная полимеризация|Радикальная полимеризация - это процесс образования полимера по свободнорадикальному механизму с последовательным присоединением молекул мономера к растущему макрорадикалу~~~~Радикальная полимеризация - один из основных промышленных методов, которым получают более половины производимых в мире полимеров, в т. ч. полиэтилен (высокого давления), полистирол, сополимеры этилена и стирола с различными полярными мономерами, поливинилхлорид, полиакрилаты и полиметакрилаты, ряд синтетических каучуков и водорастворимых карбоцепных полиэлектролитов.~~~~Как цепной процесс радикальная полимеризация включает в себя следующие стадии:~~~~●инициирование цепи (зарождение свободных радикалов);~~●рост цепи (присоединение молекул мономера к растущему радикалу);~~●обрыв цепи (дезактивация радикальных частиц).~~~~На стадии инициирования образуются первичные радикалы мономера в результате непосредственного энергетического воздействия (тепло, УФ либо ионизирующее излучение; или чаще при взаимодействии мономера с радикалами, возникающими при гомолитическом распаде специально вводимых веществ-инициаторов радикальных (напр., пероксидов, гидропероксидов, азосоединений).~~~~Для увеличения скорости инициирования при низких температурах к пероксидам добавляют восстановители, например, соли переходных металлов или амины (так называемые окислительно-восстановительные инициаторы).
